	newspaper	radio	tv	sales
0	69.2	37.8	230.1	22.1
1	45.1	39.3	44.5	10.4
2	69.3	45.9	17.2	9.3
3	58.5	41.3	151.5	18.5
4	58.4	10.8	180.8	12.9
5	75.0	48.9	8.7	7.2
6	23.5	32.8	57.5	11.8
7	11.6	19.6	120.2	13.2
8	1.0	2.1	8.6	4.8
9	21.2	2.6	199.8	10.6
10	24.2	5.8	66.1	8.6
11	4.0	24.0	214.7	17.4
12	65.9	35.1	23.8	9.2
13	7.2	7.6	97.5	9.7
14	46.0	32.9	204.1	19.0
15	52.9	47.7	195.4	22.4
16	114.0	36.6	67.8	12.5
17	55.8	39.6	281.4	24.4
18	18.3	20.5	69.2	11.3
19	19.1	23.9	147.3	14.6
20	53.4	27.7	218.4	18.0
21	23.5	5.1	237.4	12.5
22	49.6	15.9	13.2	5.6
23	26.2	16.9	228.3	15.5
24	18.3	12.6	62.3	9.7
25	19.5	3.5	262.9	12.0
26	12.6	29.3	142.9	15.0
27	22.9	16.7	240.1	15.9
28	22.9	27.1	248.8	18.9
29	40.8	16.0	70.6	10.5
30	43.2	28.3	292.9	21.4
31	38.6	17.4	112.9	11.9
32	30.0	1.5	97.2	9.6
33	0.3	20.0	265.6	17.4
34	7.4	1.4	95.7	9.5
35	8.5	4.1	290.7	12.8
36	5.0	43.8	266.9	25.4
37	45.7	49.4	74.7	14.7
38	35.1	26.7	43.1	10.1
39	32.0	37.7	228.0	21.5
40	31.6	22.3	202.5	16.6
41	38.7	33.4	177.0	17.1
42	1.8	27.7	293.6	20.7
43	26.4	8.4	206.9	12.9
44	43.3	25.7	25.1	8.5
45	31.5	22.5	175.1	14.9
46	35.7	9.9	89.7	10.6
47	18.5	41.5	239.9	23.2
48	49.9	15.8	227.2	14.8
49	36.8	11.7	66.9	9.7
50	34.6	3.1	199.8	11.4
51	3.6	9.6	100.4	10.7
52	39.6	41.7	216.4	22.6
53	58.7	46.2	182.6	21.2
54	15.9	28.8	262.7	20.2
55	60.0	49.4	198.9	23.7
56	41.4	28.1	7.3	5.5
57	16.6	19.2	136.2	13.2
58	37.7	49.6	210.8	23.8
59	9.3	29.5	210.7	18.4
60	21.4	2.0	53.5	8.1
61	54.7	42.7	261.3	24.2
62	27.3	15.5	239.3	15.7
63	8.4	29.6	102.7	14.0
64	28.9	42.8	131.1	18.0
65	0.9	9.3	69.0	9.3
66	2.2	24.6	31.5	9.5
67	10.2	14.5	139.3	13.4
68	11.0	27.5	237.4	18.9
69	27.2	43.9	216.8	22.3
70	38.7	30.6	199.1	18.3
71	31.7	14.3	109.8	12.4
